Carimbo de data/hora,1) Qual o seu sexo?,2) Qual sua idade?,4) Qual o seu curso de graduação?,5) Em que ano você ingressou nesse curso?,6) Qual o período/ano você está matriculado?,7) Qual o turno do seu curso?,8) Você exerce atividade remunerada?,9) O que você poderia dizer sobre suas atuações na área da computação?,10) Quais motivos o levaram a escolher o curso?,"11) Agora que você está na graduação, quais motivos o fazem continuar?","12) Agora que você está na graduação, suas perspectivas com o conteúdo do curso mudaram?",13) Quantas horas por dia você se dedica aos estudos fora do horário de aula?,14) Você tem dificuldade de organizar seu tempo para os estudos?,15) Você costuma estudar pelos livros e outros materiais sugeridos pelo professor?,16) Como você classifica sua dedicação ao curso?,17) Quais são suas maiores dificuldades no curso? ,18) Quais das grandes áreas da computação você encontra/encontrou maior dificuldade?,19) Você acha seu curso difícil? ,20) Você tem dificuldade em  imaginar e implementar um algoritmo para solucionar um problema apresentado?,21) Você procura o professor fora do horário das aulas?,22) Quantas vezes você reprovou?,23) Você conseguiu ser aprovado em disciplinas que reprovou anteriormente?,24) Quais os principais motivos que contribuíram para sua reprovação? ,"25) Na sua opinião, por que é comum ocorrerem reprovações nos cursos de graduação em computação? ",26) Que sugestões você daria para diminuir as reprovações no curso?,27) Como a estrutura física da sua Instituição interfere no seu desempenho acadêmico?,28) Qual sua renda familiar média?,29) Qual o meio de transporte geralmente utilizado para se deslocar para a instituição?,30) Você possui algum tipo de bolsa-auxílio/financiamento estudantil que contribua para sua permanência no curso?,"31) Em seu ambiente residencial, você possui recursos (computador, internet, etc) para estudar/aplicar o conhecimento recebido no seu curso?",32) Você acredita que a sua formação pode transformar sua atual realidade sócio-econômica?,33) Você visualiza atualmente oportunidades de atuação profissional em sua área de formação?,34) Você acredita que a formação que está recebendo será um diferencial para o ingresso no mercado de trabalho?,"35)  No futuro, após você se formar, como você acredita que será o mercado de trabalho na sua área?",36) Você acha que o curso prepara os alunos adequadamente para o mercado de trabalho?,"37) Em algum momento durante seu curso de Computação, você pensou em desistir dos estudos?","38) Se você pudesse refazer sua opção de curso, escolheria  novamente o seu curso?",39) Você já sofreu ou vivenciou algum tipo de discriminação? Conte o que ocorreu.,40)  Qual a instituição  que você cursou no ensino médio?
7/7/2020 8:10:56,Masculino,37,Sistema de Informação - FAG,2013,6º período / 3º ano,Noturno,Sim,Já trabalhei ou estagiei na área da computação antes de entrar no curso.,Experiência profissional,Experiência profissional,Bastante,entre 1 e 2 horas,Às vezes,Sim,Mediana,Tempo para estudar,"Matemática da Computação (matemática simbólica, cálculo, modelos análicos e de simulação)",Bastante,Não,"Sim, sempre que tenho dúvidas",Nenhuma,Nunca reprovei,Nunca reprovei,falta de estudo,maior tempo para se dedicar aos estudos,nenhuma,"Acima de R$9000,00",Carro,Não,Sim,Sim,Sim,Sim,Muito promissor,sim,Não,Sim,nao,
7/7/2020 10:34:23,Feminino,20,Ciência da Computação - UEPG,2017,7º período / 4º ano,Integral,Não,Já trabalhei ou estagiei na área da computação antes de entrar no curso.,"Experiência profissional, Emprego futuro, Acredito que o curso é adequado ao meu perfil.","Emprego futuro, Oportunidades que a universidade apresenta (ex: estágio, projeto de pesquisa, etc), Desafio / Motivação pessoal, O curso é adequado ao meu perfil.",Bastante,entre 1 e 2 horas,Às vezes,Sim,Mediana,"Conteúdo das disciplinas, Metodologias utilizadas pelos professores, Falta de abstração","Matemática da Computação (matemática simbólica, cálculo, modelos análicos e de simulação)",Bastante,Razoavelmente,"Sim, algumas vezes",Nenhuma,Nunca reprovei,Nunca reprovei,"Penso que são vários os motivos, dentre eles falta de estudo e interesse por parte dos alunos. Mas também os professores nem sempre se preocupam com a didática, ou seja, em estimular o aluno para que ele realmente aprenda. Outra coisa são as provas muito difíceis e nem sempre decorrentes dos conteúdos apresentados em sala de aula. ",Oferecer cursos de qualificação didático-pedagógica para os professores. Disponibilizar muitos materiais didáticos para os alunos. Integrar mais a universidade com as empresas. Propor exercícios mais relacionados com o dia a dia da profissão.,Especialmente com relação à qualidade dos laboratórios de informática. ,"De R$3000,00 a R$5000,00",A pé,Não,Não,Sim,Sim,Sim,Promissor,"Nem sempre. Seria necessário interligar mais a universidade com as empresas. 
",Sim,Sim,"Eu nunca sofri discriminação. Mas vi discriminação acontecer em sala de aula com uma amiga. Ela tinha muitas dificuldades e, quando participava da aula, suas colocações em várias ocasiões eram motivo de riso.",
7/7/2020 11:32:35,Feminino,35,Ciência da Computação - Unioeste,2019,1º período / 1ºano,Integral,Sim,Nunca trabalhei na área.,"Emprego futuro, Realização de cursos técnicos, O curso é na cidade em que moro, O curso é gratuito / consegui bolsa, Acredito que o curso é adequado ao meu perfil.","Experiência profissional, incentivo da família e/ou amigos, Emprego futuro, Realização de cursos técnicos, Oportunidades que a universidade apresenta (ex: estágio, projeto de pesquisa, etc), Interação com os colegas do curso, Interação com os professores do curso, Desafio / Motivação pessoal, O curso é na cidade em que moro, O curso é gratuito / consegui bolsa, O curso é adequado ao meu perfil.",Muito Pouco,entre 1 e 2 horas,Às vezes,Sim,Mediana,"Conteúdo das disciplinas, Problemas familiares, pessoais ou falta de motivação","Metodologia e Técnicas da Computação (Linguagens de Programação, Engenharia de Software, Banco de Dados), Sistemas de Computação (Hardware, Arquitetura de Sistemas de Computação)",Razoavelmente,Pouca,"Sim, algumas vezes",3,"Não, nenhuma","Falta de estudo, Disciplina muito difícil, Trabalhos difíceis ou extensos, Motivos pessoais","porque falta base, conhecimentos prévios",não sei,Os laboratório de informática são muito precários e limitam o desenvolvimento das atividades do curso,"De R$3000,00 a R$5000,00",Carro,Não,Sim,Sim,Sim,Sim,Promissor,Mais ou menos,Não,Sim,Não,Privado (particular)
7/7/2020 15:35:17,Feminino,37,TADS (tecnologia em análise e desenvolvimento de sistemas) - IFPR Cascavel,2020,1º período / 1ºano,Noturno,Sim,Nunca trabalhei na área.,"Sugestão da família e/ou amigos, Emprego futuro, O curso é gratuito / consegui bolsa, Acredito que o curso é adequado ao meu perfil.","Experiência profissional, Emprego futuro, Gosto do Curso, Desafio / Motivação pessoal",Não,entre 2 e 3 horas,Às vezes,Sim,A máxima possível,Conteúdo das disciplinas,"Teoria da Computação (análise de algoritmos, lógica, computabilidade, linguagens formais)",Bastante,Razoavelmente,"Não, meus horários livres não coincidem com os horários de atendimento deles.",Nenhuma,Nunca reprovei,Nunca reprovei,"Além de ser difícil, acredito que algumas pessoas entram pensando uma coisa, e descobre outra...",Acho que muito depende do aluno,E uma boa instituição,"De R$1000,00 a R$3000,00",Van escolar,Não,Sim,Sim,Sim,Sim,Promissor,Acredito que sim,Não,Sim,Não,Público
7/7/2020 16:39:46,Feminino,31,TADS (tecnologia em análise e desenvolvimento de sistemas) - IFPR Umuarama,2020,1º período / 1ºano,Noturno,Não,Já trabalhei ou estagiei na área da computação antes de entrar no curso.,Acredito que o curso é adequado ao meu perfil.,"Gosto de jogos, internet e computador, Emprego futuro, Interação com os colegas do curso, Interação com os professores do curso, Gosto do Curso, Desafio / Motivação pessoal, O curso é adequado ao meu perfil.",Muito Pouco,entre 2 e 3 horas,Às vezes,Sim,A máxima possível,"Recursos financeiros, Falta de abstração",Nenhuma,Razoavelmente,Pouca,"Sim, sempre que tenho dúvidas",Nenhuma,Nunca reprovei,Nunca reprovei,"Metodologia, dificuldade financeira( ter que trabalhar em cargos alheios ao do curso)",Maiores parcerias da IES com setores privados e públicos para empregabilidade de alunos na área.,"Interfere positivamente. A estrutura do campus de Umuarama é excelente, corpo docente excelente, atendimento ao aluno também excelente","De R$1000,00 a R$3000,00",Transporte público,Sim,Sim,Sim,Sim,Sim,Muito promissor,"Estou há pouco tempo, acho que a base é essencial e o pouco que pude ver do campus de Umuarama é que o apoio que o acadêmico recebe é de grande importância",Sim,Sim,"Por ser mulher em um curso bastante ocupado pelo sexo masculino, acho que dentro do Campus nunca senti isso, mas fora, em reuniões ou entrevistas de emprego sim.",Público
7/7/2020 16:40:56,Masculino,23,TADS (tecnologia em análise e desenvolvimento de sistemas) - IFPR Umuarama,2018,5º período / 3º ano,Noturno,Não,Só consegui trabalho ou estágio com computação após o ingresso no curso.,"Experiência profissional, Gosto de jogos, internet e computador, Realização de cursos técnicos, Acredito que o curso é adequado ao meu perfil.","Experiência profissional, incentivo da família e/ou amigos, Gosto de jogos, internet e computador, Realização de cursos técnicos, Oportunidades que a universidade apresenta (ex: estágio, projeto de pesquisa, etc), Interação com os colegas do curso, Interação com os professores do curso, Gosto do Curso",Bastante,menos que 1 hora,Frequentemente,Estudo pelos slides e pelas anotações das aulas que assisto.,Mediana,"Conteúdo das disciplinas, Tempo para estudar, Metodologias utilizadas pelos professores, Problemas familiares, pessoais ou falta de motivação, Perceber a aplicabilidade dos conteúdos, Falta de abstração","Metodologia e Técnicas da Computação (Linguagens de Programação, Engenharia de Software, Banco de Dados)",Razoavelmente,Completamente,"Sim, sempre que tenho dúvidas",2,Algumas,"Disciplina muito difícil, Dificuldade para entender as explicações do professor, Trabalhos difíceis ou extensos, Não consegui nota suficiente","Vai muito da instituição e professor aplicando, mas no geral, ensinar matérias e linguagens escassas/antigas no mercado de trabalho é o maior problema, desgasta o aluno e desmotiva os estudos por estar estudando algo que você nunca vai aplicar na vida por ser. No final você acaba tendo que se ""virar"" no mercado de trabalho e estudar tecnologias para se adaptar ao mínimo ",Atualizar a grade já seria um ótimo primeiro passo,Nenhuma,"De R$1000,00 a R$3000,00",Transporte público,Não,Sim,Sim,Sim,Não,Muito promissor,Tentam.,Sim,Não,Não,Público
7/7/2020 16:41:10,Masculino,22,TADS (tecnologia em análise e desenvolvimento de sistemas) - IFPR Umuarama,2018,5º período / 3º ano,Noturno,Sim,Só consegui trabalho ou estágio com computação após o ingresso no curso.,"Emprego futuro, O curso é gratuito / consegui bolsa, Acredito que o curso é adequado ao meu perfil.","Experiência profissional, incentivo da família e/ou amigos, Gosto de jogos, internet e computador, Emprego futuro, Interação com os colegas do curso, Interação com os professores do curso, Gosto do Curso, Desafio / Motivação pessoal, O curso é gratuito / consegui bolsa, O curso é adequado ao meu perfil.",Bastante,entre 2 e 3 horas,Às vezes,Sim,A máxima possível,"Nunca parei para pensar sobre isso, Nenhuma","Matemática da Computação (matemática simbólica, cálculo, modelos análicos e de simulação)",Razoavelmente,Pouca,"Sim, algumas vezes",Nenhuma,Nunca reprovei,Nunca reprovei,"As vezes as pessoas entram achando que é um determinado ramo de conteúdo, mas no final das contas as coisas são bem diferentes, esse é meu caso, mas estou gostando bastante.","Oferecer com maior clareza materiais dizendo o rumo do curso, sendo assim as pessoas não entrariam por não saber o que é. ","Interfere positivamente, ambiente de estudo e tudo mais.","De R$1000,00 a R$3000,00",Transporte público,Não,Sim,Sim,Sim,Sim,Muito promissor,"Não especificamente, mas ajuda.",Sim,Sim,Não ,Público
7/7/2020 16:41:16,Masculino,24,TADS (tecnologia em análise e desenvolvimento de sistemas) - IFPR Umuarama,2018,6º período / 3º ano,Noturno,Sim,"Estou tentando uma vaga na área, mas não estou conseguindo.","Gosto de jogos, internet e computador, Emprego futuro, Realização de cursos técnicos, Acredito que o curso é adequado ao meu perfil.","Gosto de jogos, internet e computador, Emprego futuro, Gosto do Curso, O curso é adequado ao meu perfil.",Razoavelmente,entre 1 e 2 horas,Quase sempre,Sim,Mediana,"Tempo para estudar, Problemas familiares, pessoais ou falta de motivação","Matemática da Computação (matemática simbólica, cálculo, modelos análicos e de simulação)",Bastante,Bastante,"Não, meus horários livres não coincidem com os horários de atendimento deles.",Nenhuma,Nunca reprovei,Nunca reprovei,"Pois é necessário um bom tempo de estudos fora da aula, e muitas pessoas não possuem esse tempo",Talvez um menor número de matérias por semestre,"De forma positiva, os equipamentos funcionam bem","De R$1000,00 a R$3000,00",Transporte público,Sim,Sim,Não saberia dizer,Não,Parcialmente,Promissor,Não ,Sim,Sim,Não sofri,Público
7/7/2020 16:59:58,Feminino,21,Ciência da Computação - Unioeste,2017,7º período / 4º ano,Integral,Sim,Só consegui trabalho ou estágio com computação após o ingresso no curso.,"Gosto de jogos, internet e computador, Emprego futuro, Realização de cursos técnicos, O curso é na cidade em que moro, O curso é gratuito / consegui bolsa, Acredito que o curso é adequado ao meu perfil.","Experiência profissional, Gosto de jogos, internet e computador, Emprego futuro, Realização de cursos técnicos, Oportunidades que a universidade apresenta (ex: estágio, projeto de pesquisa, etc), Interação com os colegas do curso, Interação com os professores do curso, Gosto do Curso, Desafio / Motivação pessoal, O curso é adequado ao meu perfil.",Bastante,entre 2 e 3 horas,Às vezes,Estudo pelos slides e pelas anotações das aulas que assisto.,Mediana,"Conteúdo das disciplinas, Metodologias utilizadas pelos professores","Teoria da Computação (análise de algoritmos, lógica, computabilidade, linguagens formais)",Bastante,Pouca,"Sim, sempre que tenho dúvidas",1,"Sim, todas","Falta de estudo, Dificuldade para entender as explicações do professor, Não consegui nota suficiente","O curso de cc é difícil, ele exige um conhecimento lógico que nós não somos apresentados no ensino público. Quando a gente chega no primeiro ano e é apresentado a diversos assuntos que tínhamos que ter estudado no ensino médio, tudo fica ainda pior ","Acho que principalmente pegar mais leve no primeiro ano. Muitos calouros não estão acostumados com o ritmo do curso, e não é algo que se aprende do dia pra noite",Acredito que em nada ,"De R$3000,00 a R$5000,00",Carro,Não,Sim,Sim,Sim,Sim,Muito promissor,"Mais ou menos. Acredito que temos um embasamento muito bom em relação a teoria, mas falta uma abordagem maior em relação a novas tecnologias disponíveis ",Não,Sim,Nunca ,Técnico integrado em Informática
7/7/2020 17:01:20,Masculino,18,TADS (tecnologia em análise e desenvolvimento de sistemas) - IFPR Umuarama,2020,1º período / 1ºano,Noturno,Não,Nunca trabalhei na área.,"Gosto de jogos, internet e computador, Emprego futuro, O curso é na cidade em que moro, O curso é gratuito / consegui bolsa","incentivo da família e/ou amigos, Gosto de jogos, internet e computador, Interação com os colegas do curso, Gosto do Curso",Muito Pouco,menos que 1 hora,Às vezes,Estudo pelos slides e pelas anotações das aulas que assisto.,Mediana,"Metodologias utilizadas pelos professores, Perceber a aplicabilidade dos conteúdos","Teoria da Computação (análise de algoritmos, lógica, computabilidade, linguagens formais), Sistemas de Computação (Hardware, Arquitetura de Sistemas de Computação)",Bastante,Razoavelmente,"Sim, algumas vezes",Nenhuma,Nunca reprovei,Nunca reprovei,Falta de tempo e apoio,Aulas práticas ensinam melhor,Falta de espaço/equipamento,"De R$1000,00 a R$3000,00",Carro,Não,Sim,Sim,Não,Parcialmente,Promissor,Sim,Sim,Sim,Não,Privado (particular)
